subject,scan,first_onset
100206,EMOTION,10.996
100610,EMOTION,10.995
101006,EMOTION,10.996
101309,EMOTION,11.023
101915,EMOTION,11.036
102311,EMOTION,11.022
102513,EMOTION,10.996
106016,EMOTION,10.995
107321,EMOTION,10.996
107422,EMOTION,10.996
108121,EMOTION,11.022
108222,EMOTION,11.022
109830,EMOTION,10.982
110007,EMOTION,11.009
110613,EMOTION,10.996
112112,EMOTION,10.995
112314,EMOTION,10.995
112920,EMOTION,10.995
113922,EMOTION,11.009
116524,EMOTION,10.996
118124,EMOTION,10.995
118528,EMOTION,10.996
119126,EMOTION,10.995
121416,EMOTION,10.995
122822,EMOTION,10.982
124826,EMOTION,10.996
127630,EMOTION,10.995
129129,EMOTION,11.009
129634,EMOTION,10.995
130316,EMOTION,11.023
130417,EMOTION,10.995
131217,EMOTION,10.995
131823,EMOTION,11.022
132017,EMOTION,10.996
133019,EMOTION,11.009
134021,EMOTION,11.022
134223,EMOTION,11.022
134324,EMOTION,10.995
134425,EMOTION,11.009
134627,EMOTION,
134728,EMOTION,10.996
135528,EMOTION,10.995
135730,EMOTION,10.996
136732,EMOTION,11.009
137229,EMOTION,11.009
137633,EMOTION,10.995
139233,EMOTION,10.982
139839,EMOTION,10.995
140117,EMOTION,10.995
141119,EMOTION,10.995
141826,EMOTION,11.023
144125,EMOTION,10.995
144731,EMOTION,10.995
146129,EMOTION,10.996
146432,EMOTION,10.996
146533,EMOTION,10.996
146937,EMOTION,10.995
147030,EMOTION,11.022
148133,EMOTION,11.009
149236,EMOTION,10.982
149842,EMOTION,10.995
150625,EMOTION,10.996
150928,EMOTION,11.008
152831,EMOTION,11.036
153227,EMOTION,10.995
154229,EMOTION,10.995
154532,EMOTION,10.996
154734,EMOTION,10.995
154835,EMOTION,11.023
154936,EMOTION,10.995
155635,EMOTION,10.995
155938,EMOTION,10.996
157942,EMOTION,10.996
159138,EMOTION,10.995
159340,EMOTION,11.022
159441,EMOTION,10.996
160830,EMOTION,10.996
162733,EMOTION,10.983
163331,EMOTION,10.996
163836,EMOTION,10.996
164030,EMOTION,10.995
164939,EMOTION,10.995
167238,EMOTION,11.036
168240,EMOTION,10.996
169949,EMOTION,10.995
170631,EMOTION,11.022
171633,EMOTION,10.996
172938,EMOTION,10.995
173435,EMOTION,10.996
173536,EMOTION,10.982
173738,EMOTION,11.009
173839,EMOTION,10.995
173940,EMOTION,10.995
175035,EMOTION,10.996
175237,EMOTION,10.982
175338,EMOTION,10.995
175742,EMOTION,10.996
176037,EMOTION,11.009
178950,EMOTION,10.996
179346,EMOTION,11.022
180129,EMOTION,10.995
181131,EMOTION,10.995
181232,EMOTION,10.995
181636,EMOTION,11.035
182436,EMOTION,10.995
183034,EMOTION,11.022
185442,EMOTION,10.995
186141,EMOTION,10.995
186444,EMOTION,10.995
187345,EMOTION,11.009
188448,EMOTION,10.995
188549,EMOTION,11.035
188751,EMOTION,11.022
189450,EMOTION,10.995
191033,EMOTION,11.023
192035,EMOTION,10.996
192136,EMOTION,11.022
192843,EMOTION,10.995
194645,EMOTION,10.996
194746,EMOTION,10.995
195445,EMOTION,10.996
195849,EMOTION,10.995
195950,EMOTION,10.996
197348,EMOTION,10.995
198249,EMOTION,10.995
198855,EMOTION,10.982
199453,EMOTION,11.022
199958,EMOTION,10.996
200008,EMOTION,11.009
200311,EMOTION,10.995
201515,EMOTION,10.996
202719,EMOTION,11.022
203418,EMOTION,10.996
203923,EMOTION,11.009
204319,EMOTION,11.008
204521,EMOTION,10.996
204622,EMOTION,10.996
206222,EMOTION,10.995
207123,EMOTION,10.982
208125,EMOTION,10.995
208327,EMOTION,10.995
209228,EMOTION,11.022
210415,EMOTION,10.996
211215,EMOTION,11.022
211316,EMOTION,10.996
211922,EMOTION,10.982
212015,EMOTION,10.996
212419,EMOTION,10.996
213421,EMOTION,10.996
214524,EMOTION,11.009
220721,EMOTION,10.995
227432,EMOTION,10.995
228434,EMOTION,11.036
233326,EMOTION,10.996
248339,EMOTION,10.996
250932,EMOTION,10.996
257542,EMOTION,10.996
257845,EMOTION,11.009
268850,EMOTION,10.995
285446,EMOTION,11.008
295146,EMOTION,11.089
297655,EMOTION,10.996
299154,EMOTION,11.009
300618,EMOTION,10.996
303119,EMOTION,11.022
304727,EMOTION,11.022
308331,EMOTION,10.996
309636,EMOTION,10.995
310621,EMOTION,10.995
316633,EMOTION,10.996
316835,EMOTION,10.996
318637,EMOTION,10.995
336841,EMOTION,11.009
352132,EMOTION,10.995
361941,EMOTION,10.982
377451,EMOTION,11.009
380036,EMOTION,11.035
381038,EMOTION,11.009
386250,EMOTION,10.996
387959,EMOTION,11.022
393247,EMOTION,11.022
393550,EMOTION,11.009
395251,EMOTION,11.022
395756,EMOTION,10.996
397154,EMOTION,10.995
412528,EMOTION,10.996
432332,EMOTION,10.982
433839,EMOTION,10.996
436845,EMOTION,10.995
449753,EMOTION,10.982
459453,EMOTION,10.982
465852,EMOTION,10.995
479762,EMOTION,10.995
495255,EMOTION,10.996
510326,EMOTION,11.022
517239,EMOTION,10.995
520228,EMOTION,10.996
524135,EMOTION,11.009
525541,EMOTION,10.995
529549,EMOTION,10.995
529953,EMOTION,11.022
553344,EMOTION,10.996
555348,EMOTION,10.996
555651,EMOTION,10.996
561444,EMOTION,10.996
562345,EMOTION,10.982
567052,EMOTION,11.023
567961,EMOTION,10.995
568963,EMOTION,11.009
571144,EMOTION,11.022
573249,EMOTION,10.996
576255,EMOTION,11.009
580044,EMOTION,11.009
580751,EMOTION,11.022
585256,EMOTION,10.996
587664,EMOTION,10.996
597869,EMOTION,10.995
599065,EMOTION,10.996
599671,EMOTION,10.996
604537,EMOTION,10.995
611938,EMOTION,10.995
616645,EMOTION,11.036
618952,EMOTION,10.996
622236,EMOTION,10.995
633847,EMOTION,10.982
645450,EMOTION,10.995
654350,EMOTION,11.022
656253,EMOTION,11.022
656657,EMOTION,10.995
657659,EMOTION,10.995
660951,EMOTION,10.996
663755,EMOTION,10.995
664757,EMOTION,10.996
667056,EMOTION,11.022
671855,EMOTION,10.996
679568,EMOTION,10.996
679770,EMOTION,10.996
690152,EMOTION,11.036
695768,EMOTION,10.996
715950,EMOTION,10.996
724446,EMOTION,10.995
725751,EMOTION,10.995
731140,EMOTION,11.008
735148,EMOTION,10.995
744553,EMOTION,10.982
749058,EMOTION,10.996
753150,EMOTION,11.009
769064,EMOTION,11.022
770352,EMOTION,10.996
782561,EMOTION,11.035
789373,EMOTION,10.996
792867,EMOTION,11.009
833249,EMOTION,10.996
837560,EMOTION,11.022
877269,EMOTION,10.996
100206,GAMBLING,8.063
100610,GAMBLING,8.063
101006,GAMBLING,8.063
101309,GAMBLING,8.064
101915,GAMBLING,8.09
102311,GAMBLING,8.064
102513,GAMBLING,8.064
106016,GAMBLING,8.063
107321,GAMBLING,8.063
107422,GAMBLING,8.063
108121,GAMBLING,8.064
108222,GAMBLING,8.064
109830,GAMBLING,8.064
110007,GAMBLING,8.091
110613,GAMBLING,8.077
112112,GAMBLING,8.063
112314,GAMBLING,8.063
112920,GAMBLING,8.05
113922,GAMBLING,8.063
116524,GAMBLING,8.063
118124,GAMBLING,8.063
118528,GAMBLING,8.09
119126,GAMBLING,8.064
121416,GAMBLING,8.05
122822,GAMBLING,8.064
124826,GAMBLING,8.063
127630,GAMBLING,8.063
129129,GAMBLING,8.077
129634,GAMBLING,8.063
130316,GAMBLING,8.064
130417,GAMBLING,8.064
131217,GAMBLING,8.09
131823,GAMBLING,8.063
132017,GAMBLING,8.064
133019,GAMBLING,8.063
134021,GAMBLING,8.09
134223,GAMBLING,8.077
134324,GAMBLING,8.063
134425,GAMBLING,8.063
134627,GAMBLING,8.064
134728,GAMBLING,8.063
135528,GAMBLING,8.063
135730,GAMBLING,8.063
136732,GAMBLING,8.09
137229,GAMBLING,8.063
137633,GAMBLING,8.063
139233,GAMBLING,8.063
139839,GAMBLING,8.063
140117,GAMBLING,8.064
141119,GAMBLING,8.063
141826,GAMBLING,8.064
144125,GAMBLING,8.077
144731,GAMBLING,8.063
146129,GAMBLING,8.064
146432,GAMBLING,8.064
146533,GAMBLING,8.077
146937,GAMBLING,8.064
147030,GAMBLING,8.063
148133,GAMBLING,8.063
149236,GAMBLING,8.064
149842,GAMBLING,8.063
150625,GAMBLING,8.063
150928,GAMBLING,8.103
152831,GAMBLING,8.063
153227,GAMBLING,8.077
154229,GAMBLING,8.104
154532,GAMBLING,8.077
154734,GAMBLING,8.063
154835,GAMBLING,8.077
154936,GAMBLING,8.09
155635,GAMBLING,8.063
155938,GAMBLING,8.09
157942,GAMBLING,8.064
159138,GAMBLING,8.063
159340,GAMBLING,8.064
159441,GAMBLING,8.05
160830,GAMBLING,8.063
162733,GAMBLING,8.064
163331,GAMBLING,8.063
163836,GAMBLING,8.064
164030,GAMBLING,8.063
164939,GAMBLING,8.09
167238,GAMBLING,8.063
168240,GAMBLING,8.063
169949,GAMBLING,8.063
170631,GAMBLING,8.09
171633,GAMBLING,8.063
172938,GAMBLING,8.064
173435,GAMBLING,8.063
173536,GAMBLING,8.063
173738,GAMBLING,8.063
173839,GAMBLING,8.064
173940,GAMBLING,8.063
175035,GAMBLING,8.064
175237,GAMBLING,8.063
175338,GAMBLING,8.063
175742,GAMBLING,8.063
176037,GAMBLING,8.09
178950,GAMBLING,8.064
179346,GAMBLING,8.063
180129,GAMBLING,8.063
181131,GAMBLING,8.063
181232,GAMBLING,8.063
181636,GAMBLING,8.063
182436,GAMBLING,8.076
183034,GAMBLING,8.063
185442,GAMBLING,8.063
186141,GAMBLING,8.063
186444,GAMBLING,8.05
187345,GAMBLING,8.09
188448,GAMBLING,8.063
188549,GAMBLING,8.064
188751,GAMBLING,8.09
189450,GAMBLING,8.063
191033,GAMBLING,8.063
192035,GAMBLING,8.064
192136,GAMBLING,8.09
192843,GAMBLING,8.063
194645,GAMBLING,8.05
194746,GAMBLING,8.09
195445,GAMBLING,8.076
195849,GAMBLING,8.063
195950,GAMBLING,8.063
197348,GAMBLING,8.063
198249,GAMBLING,8.064
198855,GAMBLING,8.063
199453,GAMBLING,8.063
199958,GAMBLING,8.064
200008,GAMBLING,8.09
200311,GAMBLING,8.063
201515,GAMBLING,8.103
202719,GAMBLING,8.064
203418,GAMBLING,8.063
203923,GAMBLING,8.076
204319,GAMBLING,8.063
204521,GAMBLING,8.064
204622,GAMBLING,8.063
206222,GAMBLING,8.063
207123,GAMBLING,8.103
208125,GAMBLING,8.063
208327,GAMBLING,8.064
209228,GAMBLING,8.076
210415,GAMBLING,8.063
211215,GAMBLING,8.05
211316,GAMBLING,8.063
211922,GAMBLING,8.063
212015,GAMBLING,8.064
212419,GAMBLING,8.063
213421,GAMBLING,8.063
214524,GAMBLING,8.063
220721,GAMBLING,8.063
227432,GAMBLING,8.063
228434,GAMBLING,8.09
233326,GAMBLING,8.063
248339,GAMBLING,8.063
250932,GAMBLING,8.063
257542,GAMBLING,8.064
257845,GAMBLING,8.064
268850,GAMBLING,8.064
285446,GAMBLING,8.064
295146,GAMBLING,8.063
297655,GAMBLING,8.063
299154,GAMBLING,8.063
300618,GAMBLING,8.09
303119,GAMBLING,8.077
304727,GAMBLING,8.063
308331,GAMBLING,8.076
309636,GAMBLING,8.077
310621,GAMBLING,8.063
316633,GAMBLING,8.063
316835,GAMBLING,8.063
318637,GAMBLING,8.063
336841,GAMBLING,8.064
352132,GAMBLING,8.103
361941,GAMBLING,8.05
377451,GAMBLING,8.063
380036,GAMBLING,8.103
381038,GAMBLING,8.077
386250,GAMBLING,8.063
387959,GAMBLING,8.063
393247,GAMBLING,8.064
